item_seq,item_name,ingr_code,ingr_name_ko,ingr_name_en,atc_code,synonyms,성상,의약품제형,색상앞,표시앞,표시뒤,severity_class,label_section,dili_status
201203630,키즈빅골드츄어블정,M243785,산화아연,Retinol Palmitate Granules/Cholecalciferol Concentrate Powder/Thiamine Nitrate/Riboflavin Sodium Phosphate/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%/Ascorbic Acid Coated/Tocopherol Acetate Powder 50%/Folic Acid/Nicotinamide/Calcium Pantothenate/Calcium Gluconate Hydrate/Magnesium Glycerophosphate/Zinc Oxide,A11AB,"[""티아민질산염"", ""폴산"", ""토코페롤아세테이트 2배산"", ""리보플라빈포스페이트나트륨"", ""글리세로인산마그네슘"", ""글루콘산칼슘수화물"", ""시아노코발라민1000배산"", ""콜레칼시페롤농축분말"", ""판토텐산칼슘"", ""제피아스코르브산"", ""니코틴산아미드"", ""레티놀팔미테이트과립"", ""피리독신염산염""]",흰색~미황색의원형정제,원형,노랑,GHC,-,0.0,No match,vNo-DILI-concern
201203744,누리그라정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],분할선을가진연두색의모서리가둥근삼각형필름코팅정,삼각형,연두,D.W,분할선,3.0,Adverse reactions,vLess-DILI-concern
201203745,누리그라정50밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],분할선을가진연두색의모서리가둥근삼각형필름코팅정,삼각형,연두,D.W,5분할선0,3.0,Adverse reactions,vLess-DILI-concern
201203788,실비에정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의약간둥근물방울형필름코팅정,기타,파랑,마크,분할선,3.0,Adverse reactions,vLess-DILI-concern
201204197,스리날-에스정,M234405,육계가루,Sodium Bicarbonate/Hydrotalcite/Gentian Powder/Cinnamon Bark Powder,A02AH,"[""탄산수소나트륨"", ""겐티아나가루"", ""히드로탈시트""]",주황색원형의필름코팅정,원형,주황,YSS,-,0.0,No match,vNo-DILI-concern
201204330,모드콜에스연질캡슐,M050058,구아이페네신,Acetaminophen/Chlorpheniramine Maleate/DL-Methylephedrine Hydrochloride/Pseudoephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Guaifenesin,R05X,"[""클로르페니라민말레산염"", ""dl-메틸에페드린염산염"", ""아세트아미노펜"", ""덱스트로메토르판브롬화수소산염수화물"", ""슈도에페드린염산염""]",미황색의투명한내용물을함유한노란색투명한타원형연질캡슐,타원형,노랑|투명,MODCD,-,5.0,Warnings & precautions,vMost-DILI-concern
201204389,모드코프에스연질캡슐,M050058,구아이페네신,Acetaminophen/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Guaifenesin,R05X,"[""dl-메틸에페드린염산염"", ""아세트아미노펜"", ""덱스트로메토르판브롬화수소산염수화물""]",무색내지연한청색의내용물을함유한청색의투명한타원형연질캡슐,타원형,파랑|투명,MODCG,-,5.0,Warnings & precautions,vMost-DILI-concern
201204544,맥시그라정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의약간둥근물방울형필름코팅정,기타,파랑,K분할선J,분할선,3.0,Adverse reactions,vLess-DILI-concern
201204549,일양실데나필정50밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의약간둥근물방울형필름코팅정,기타,파랑,마크,분할선,3.0,Adverse reactions,vLess-DILI-concern
201204550,일양실데나필정100밀리그램,M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의약간둥근물방울형필름코팅정,기타,파랑,마크,분할선,3.0,Adverse reactions,vLess-DILI-concern
